nama,harga,rating,jumlah_review,link,wilayah
"Villa in Parompong - Kirei Castle,Luxury Japanese Modern Villa@Lembang","Rp 11,992,375",4.8,41,https://www.airbnb.com/rooms/1506516555963369432,Kota Bandung
Home in Cimenyan - The Palm Villa Dago by Little Bnb,"Rp 14,427,496",4.85,20,https://www.airbnb.com/rooms/1568515496331780797,Kota Bandung
Villa in Lembang - Villa in dago bandung with a beautiful valley view,"Rp 7,245,195",4.39,155,https://www.airbnb.com/rooms/38170185,Kota Bandung
"Home in Parompong - Boni Castle | Warm Pool, Projector & Family Villa","Rp 11,174,345",4.82,11,https://www.airbnb.com/rooms/1640633419647468692,Kota Bandung
"Home in Coblong - Modern Classic, White house with Garden","Rp 11,675,825",5.0,6,https://www.airbnb.com/rooms/1688331752351596444,Kota Bandung
Villa in Cimenyan - Dago Pakar Window House - Can be rented for filming,"Rp 8,575,945",4.94,157,https://www.airbnb.com/rooms/34691870,Kota Bandung
Villa in Cimenyan - Marjara Villa by Kozystay | Private Pool | Bandung,"Rp 17,965,572",4.75,28,https://www.airbnb.com/rooms/1543388940788126914,Kota Bandung
Apartment in Andir - Rosewood 03 | 3 BR Urban Hearth | Sudirman Suites,"Rp 5,672,325",4.86,37,https://www.airbnb.com/rooms/1552017394122344606,Kota Bandung
Home in Sukajadi - Cottonwood Villa Kumala | 25org | Bioskop Dingdong,"Rp 20,757,500",5.0,13,https://www.airbnb.com/rooms/1581201510710781643,Kota Bandung
Apartment in Sumurbandung - Elysia | Bandung | City View| Braga | Mall | Pool,"Rp 2,795,884",4.93,29,https://www.airbnb.com/rooms/1538939327660195749,Kota Bandung
Home in Bojongloa Kaler - A house in the center of Bandung with easy access,"Rp 2,500,000",New,0,https://www.airbnb.com/rooms/1742164832474831990,Kota Bandung
Villa in Cimenyan - Oma's House 6 Rooms • Karaoke • BBQ • Kids Playground,"Rp 14,796,355",4.95,105,https://www.airbnb.com/rooms/1236237847970339760,Kota Bandung
Home in Lengkong - Iremia House 5: Beside the Crowd,"Rp 6,129,810",4.88,41,https://www.airbnb.com/rooms/1478909401884886662,Kota Bandung
Home in Cimenyan - [Try 1st] Glamping Villa • Hair Hunt • UV Pool,"Rp 17,096,505",4.96,28,https://www.airbnb.com/rooms/1529921830474025369,Kota Bandung
"Condo in Kecamatan Coblong - Greywood | Dago, ITB | Calm & Relaxing | 4 Guests","Rp 2,500,000",4.99,414,https://www.airbnb.com/rooms/54329969,Kota Bandung
Condo in Kecamatan Sumur Bandung - Greywood | City Center | BIP Mall | 4 Guests,"Rp 2,510,589",4.97,200,https://www.airbnb.com/rooms/1078725344338698655,Kota Bandung
Home in Kecamatan Cibeunying Kaler - Casa De Arumanis by Kava Stay,"Rp 8,455,000",4.93,161,https://www.airbnb.com/rooms/1202064633303778400,Kota Bandung
Apartment in Kecamatan Coblong - Cozy Place at Dago-for Family-No Unmarried Couple,"Rp 2,710,295",5.0,117,https://www.airbnb.com/rooms/796850339617836532,Kota Bandung
Apartment in Cicendo - Ilumo | 2 BR Modé Suites | Gateway Pasteur,"Rp 2,920,523",4.92,25,https://www.airbnb.com/rooms/1507665670234174725,Kota Bandung
Rooms in Kecamatan Sumur Bandung - Modern-classic yet comfy Apartemen Braga Citywalk,"Rp 2,456,379",4.81,16,https://www.airbnb.com/rooms/1655362038693349247,Kota Bandung
Apartment in Cidadap - Junior Suite Apartment Parahyangan Residence,"Rp 2,536,837",4.98,50,https://www.airbnb.com/rooms/1414979702054329732,Kota Bandung
Home in Kecamatan Antapani - Corner House,"Rp 5,705,885",5.0,83,https://www.airbnb.com/rooms/1271456344903650443,Kota Bandung
Room in Kecamatan Sukajadi - Hanif Room Syariah Hotel,"Rp 1,000,000",5.0,4,https://www.airbnb.com/rooms/1717692534849958064,Kota Bandung
Apartment in Cicendo - Rey Castle – Cozy Apartement @ Gateway Pasteur,"Rp 1,948,312",4.97,33,https://www.airbnb.com/rooms/1533369041801947284,Kota Bandung
Rooms in Bandung - Griya Putrabangga • Free Breakfast • Wi-Fi + Smart TV,"Rp 2,892,598",5.0,14,https://www.airbnb.com/rooms/1642038785451538826,Kota Bandung
Apartment in Kecamatan Bandung Wetan - Studio Apartment | Jarrdin | 5 Minutes from Ciwalk,"Rp 1,416,730",4.83,86,https://www.airbnb.com/rooms/41410735,Kota Bandung
Condo in Kecamatan Lengkong - Lovely 2-bedroom with Minimalist Design Unit,"Rp 3,147,220",4.9,190,https://www.airbnb.com/rooms/54398116,Kota Bandung
Room in Cidadap - Studio for 4 person at Ciumbuleuit near Unpar,"Rp 2,530,000",4.94,34,https://www.airbnb.com/rooms/1556971871401472496,Kota Bandung
Apartment in Lengkong - Yaya Castle @ Grand Asia Africa,"Rp 2,038,984",4.62,45,https://www.airbnb.com/rooms/1451492815709763058,Kota Bandung
Home in Rancasari - Valerie's Home,"Rp 2,792,033",5.0,11,https://www.airbnb.com/rooms/1601847323999377226,Kota Bandung
"Apartment in Sumurbandung - #1103b, Sun rise & city view  2 bed rooms","Rp 2,977,337",4.9,84,https://www.airbnb.com/rooms/36619314,Kota Bandung
"Apartment in Sumurbandung - Sweet La Grande ( Jl. Merdeka,Depan BIP Mall)","Rp 3,680,296",4.94,81,https://www.airbnb.com/rooms/1418035976960145487,Kota Bandung
Apartment in Cidadap - 2BR Deluxe Apartment Parahyangan Residence #02,"Rp 2,999,875",4.97,35,https://www.airbnb.com/rooms/1414915749722192661,Kota Bandung
Home in Parompong - Pet Friendly House Bandung (M House),"Rp 4,285,230",5.0,33,https://www.airbnb.com/rooms/1137458346919864249,Kota Bandung
Apartment in Kecamatan Cidadap - Ciumbeleuit Scenic View W/ Pool & Playstation 5,"Rp 3,850,000",4.88,103,https://www.airbnb.com/rooms/1343395518929127266,Kota Bandung
"Apartment in Kecamatan Sumur Bandung - Namura La Grande Apartment, Bandung","Rp 3,853,024",4.95,171,https://www.airbnb.com/rooms/839618589623901496,Kota Bandung
Apartment in Kecamatan Cicendo - PROMO! 3BR NEW LANDMARK RESIDENCE APARTMENT COZY,"Rp 7,344,478",4.93,180,https://www.airbnb.com/rooms/36537968,Kota Bandung
Home in Kecamatan Sukasari - Sentra Villa by Kava Stay,"Rp 7,552,500",4.81,105,https://www.airbnb.com/rooms/1310112979545897865,Kota Bandung
Home in Lembang - Casa Lembang 2,"Rp 5,151,095",4.85,254,https://www.airbnb.com/rooms/40331876,Kota Bandung
Apartment in Cicendo - Gateway Pasteur 1 Bedroom Luxury Minimalist,"Rp 1,739,000",4.95,20,https://www.airbnb.com/rooms/1623821676275382806,Kota Bandung
Villa in Parompong - Kayuna Villa | Lembang Zoo | Netflix | 8 people,"Rp 5,220,885",4.68,44,https://www.airbnb.com/rooms/1454318117142602378,Kota Bandung
Boutique hotel in Kecamatan Sukajadi - Kinimimpi - Candra Suite - steps to padel court,"Rp 1,426,471",4.75,72,https://www.airbnb.com/rooms/1249648150107299579,Kota Bandung
Apartment in Cicendo - 2 BR Pasteur NEW | Modern Japanese Style by Yostay,"Rp 3,139,140",5.0,9,https://www.airbnb.com/rooms/1715007523312502529,Kota Bandung
Apartment in Kecamatan Cicendo - Bloom by Kitanari • Fairy-Tale Rest near Pasteur,"Rp 1,868,130",4.96,46,https://www.airbnb.com/rooms/1578099400115632387,Kota Bandung
Apartment in Bandung - 1 BR Japandi Apt in Ciumbuleuit,"Rp 2,481,115",4.97,36,https://www.airbnb.com/rooms/1111829793608902335,Kota Bandung
"Bungalow in Lembang - Beautiful Europe-Style, Belgareti House @Lembang","Rp 5,159,500",4.86,198,https://www.airbnb.com/rooms/44649951,Kota Bandung
Apartment in Kecamatan Sumur Bandung - 2 BR Elegant Apartment | 5 Minutes Walk from Braga,"Rp 4,716,468",4.92,179,https://www.airbnb.com/rooms/53248968,Kota Bandung
